HAUL_CYCLE_REC_IDENT,LOAD_START_TIMESTAMP,LOADING_EASTING,LOADING_NORTHING,LOADING_ELEVATION,LOAD_LOCATION_SNAME,BLOCK_SNAME,DUMP_LOCATION_SNAME
2706560,28:27.0,805698.0227,7512490.789,NULL,D202_396_806_404,D202_396_806_404_BAH_3,CRUSHER1
2706591,35:18.0,804515.3533,7510402.525,NULL,ROM2_1_5_20,NULL,CRUSHER2
2706600,34:21.0,798715.4244,7513533.317,NULL,ROM1_2_8_22,NULL,CRUSHER3
2706619,46:11.0,NULL,NULL,NULL,ROM2_1_5_20,NULL,CRUSHER1
2706639,47:38.0,803943.7431,7511113.132,NULL,ROM2_RLSP_NORTH,NULL,CRUSHER1
2706663,53:55.0,804507.7517,7510401.942,NULL,ROM2_1_5_20,NULL,CRUSHER1
2706722,23:14.0,804936.7516,7510767.439,NULL,ROM2_1_19_1,NULL,CRUSHER2
2706746,26:44.0,803950.0406,7511101.815,NULL,ROM2_RLSP_NORTH,NULL,CRUSHER2
2706754,28:34.0,798825.1406,7513497.13,NULL,ROM1_2_8_22,NULL,CRUSHER3
2706764,34:45.0,804944.8306,7510769.168,NULL,ROM2_1_19_1,NULL,CRUSHER1
2706777,39:00.0,804958.5779,7510764.671,NULL,ROM2_1_19_1,NULL,CRUSHER2
2706786,17:40.0,806541.8275,7510464.347,NULL,D501_408_806_416,D501_408_806_416_BAH_9,CRUSHER2
2706790,42:45.0,803956.199,7511088.723,NULL,ROM2_RLSP_NORTH,NULL,CRUSHER1
2706794,44:58.0,804950.4956,7510768.553,NULL,ROM2_1_19_1,NULL,CRUSHER2
2706797,48:10.0,803957.822,7511085.765,NULL,ROM2_RLSP_NORTH,NULL,CRUSHER2
2706812,59:23.0,804601.5204,7510413.95,NULL,ROM2_1_5_20,NULL,CRUSHER1
2706821,54:06.0,803959.4224,7511082.065,NULL,ROM2_RLSP_NORTH,NULL,CRUSHER1
2706837,59:23.0,804895.1838,7510769.992,NULL,ROM2_1_19_1,NULL,CRUSHER2
2706849,07:44.0,806539.8333,7510436.216,NULL,D501_408_806_416,D501_408_806_416_BAH_9,CRUSHER1
